id,username,password,firstname,lastname,email,major
95,CherritaKenney,Be2XDu0A+hpE,Cherrita,Kenney,Cherrita.Kenney@ucmerced.edu,environmental systems science
96,SophiaKlemperer,FG1!l)U8r,Sophia,Klemperer,Sophia.Klemperer@ucmerced.edu,cognitive science
97,MellicentVacuva,t5^g91c^NmA)tZ,Mellicent,Vacuva,Mellicent.Vacuva@ucmerced.edu,spanish
98,MegGrobe,288I70q0Q,Meg,Grobe,Meg.Grobe@ucmerced.edu,mechanical engineering
99,NinnettaDahlia,58!pnsqYdxd,Ninnetta,Dahlia,Ninnetta.Dahlia@ucmerced.edu,political science
100,EboneeOld,#9tOLm9c@,Ebonee,Old,Ebonee.Old@ucmerced.edu,applied mathematical sciences
101,LilyGreyson,@Dp@%jDG,Lily,Greyson,Lily.Greyson@ucmerced.edu,applied mathematical sciences
102,BarbiPettiford,3UVq7oZu_,Barbi,Pettiford,Barbi.Pettiford@ucmerced.edu,mechanical engineering
103,AudrieWesle,!uuc=MlEDu,Audrie,Wesle,Audrie.Wesle@ucmerced.edu,materials sciences and engineering
104,QuintinaBraun,zxJra*r#,Quintina,Braun,Quintina.Braun@ucmerced.edu,bioengineering
105,MaryellenMcAdams,(VR)_WGkPnsd,Maryellen,McAdams,Maryellen.McAdams@ucmerced.edu,bioengineering
106,GildaDonell,Jl&f*iVFW&6cy+2,Gilda,Donell,Gilda.Donell@ucmerced.edu,political science
107,MarleahHoran,_Im1YcTzc)l,Marleah,Horan,Marleah.Horan@ucmerced.edu,cognitive science
108,AllisMargarete,E&ROgq9b(rxM2,Allis,Margarete,Allis.Margarete@ucmerced.edu,history
109,JorryLilas,*rrSQTBSkC$p**,Jorry,Lilas,Jorry.Lilas@ucmerced.edu,environmental systems science
110,AlexineMarijo,4N37zXax1,Alexine,Marijo,Alexine.Marijo@ucmerced.edu,environmental systems science
111,SheelaghReinke,0YqB8Ijn)Rn,Sheelagh,Reinke,Sheelagh.Reinke@ucmerced.edu,computer science and engineering
112,VonnyChem,N7w#*q53hvVfrj&J,Vonny,Chem,Vonny.Chem@ucmerced.edu,economics
113,GwynethDiogenes,TvD+uSwdJX,Gwyneth,Diogenes,Gwyneth.Diogenes@ucmerced.edu,public health
114,SeliaSocha,1esFCku&UvuXE,Selia,Socha,Selia.Socha@ucmerced.edu,materials sciences and engineering
115,AlmetaRodmann,(9h6##!Ll*G,Almeta,Rodmann,Almeta.Rodmann@ucmerced.edu,chemical sciences
116,CathieAbram,af^aVEswf^cdY,Cathie,Abram,Cathie.Abram@ucmerced.edu,psychology
117,StephanieLory,axooYm+8Bo)+Odt,Stephanie,Lory,Stephanie.Lory@ucmerced.edu,chemical sciences
118,EvaleenSecrest,W$N^VIjm9,Evaleen,Secrest,Evaleen.Secrest@ucmerced.edu,history
119,JasminaHillel,nVNCsQ(HoRTlwG,Jasmina,Hillel,Jasmina.Hillel@ucmerced.edu,management and business economics
120,OfiliaRurik,xNlNjqFQ,Ofilia,Rurik,Ofilia.Rurik@ucmerced.edu,sociology
121,MarcellineWoodberry,NVxvnciBB$R,Marcelline,Woodberry,Marcelline.Woodberry@ucmerced.edu,public health
122,MignonKenwood,Mg_T%Hg$kK$$x,Mignon,Kenwood,Mignon.Kenwood@ucmerced.edu,biological sciences
123,RoxaneCharmine,tKD(3m+$KjvmoR,Roxane,Charmine,Roxane.Charmine@ucmerced.edu,public health
124,AmalieRedmond,Ae3s^r55,Amalie,Redmond,Amalie.Redmond@ucmerced.edu,global arts studies program
125,CarlyRocray,hWGFErLgL,Carly,Rocray,Carly.Rocray@ucmerced.edu,global arts studies program
126,MureilKronfeld,H!M^-k-hs@Vf,Mureil,Kronfeld,Mureil.Kronfeld@ucmerced.edu,english
127,KamilahFaso,TlN$4x#!,Kamilah,Faso,Kamilah.Faso@ucmerced.edu,biological sciences
128,EmmaSaunderson,%W237DFXh0N,Emma,Saunderson,Emma.Saunderson@ucmerced.edu,computer science and engineering
129,SteffaneKatrine,FR)GHMQMlHLx,Steffane,Katrine,Steffane.Katrine@ucmerced.edu,critical race and ethnic studies
130,AnthiaAllina,vR&Bv-11@sPy,Anthia,Allina,Anthia.Allina@ucmerced.edu,economics
131,DoreneBillye,QwWn@2nxRYAZ,Dorene,Billye,Dorene.Billye@ucmerced.edu,environmental systems science
132,CorlyCassius,GW_pV*3i9bWeQ#,Corly,Cassius,Corly.Cassius@ucmerced.edu,bioengineering
133,IraBrian,lO6qMd32,Ira,Brian,Ira.Brian@ucmerced.edu,materials sciences and engineering
134,NyssaJaylene,2jfxCrjBv(R%g,Nyssa,Jaylene,Nyssa.Jaylene@ucmerced.edu,global arts studies program
135,LannaFelecia,+4-RGBv7fqYR,Lanna,Felecia,Lanna.Felecia@ucmerced.edu,psychology
136,ImojeanWenda,Njg3jU-bf4dc!+V!,Imojean,Wenda,Imojean.Wenda@ucmerced.edu,sociology
137,ChickieO'Carroll,t_xoLq9)VDP8,Chickie,O'Carroll,Chickie.O'Carroll@ucmerced.edu,chemical sciences
138,ClaudinaKilligrew,UwYRBoKsNPZT,Claudina,Killigrew,Claudina.Killigrew@ucmerced.edu,public health
139,LaurynMathilde,tF=%De7-fk&5=%-,Lauryn,Mathilde,Lauryn.Mathilde@ucmerced.edu,materials sciences and engineering
140,GeorginaHourigan,o5ygSzNO,Georgina,Hourigan,Georgina.Hourigan@ucmerced.edu,spanish
141,BertaAldric,I=d-P&Bf4VS5t!+,Berta,Aldric,Berta.Aldric@ucmerced.edu,public health
142,AigneisKarna,Ja4h%Snw(,Aigneis,Karna,Aigneis.Karna@ucmerced.edu,sociology
143,ElkaTravax,cmtBiRESCBJgr,Elka,Travax,Elka.Travax@ucmerced.edu,mechanical engineering
144,TeriannJoseph,mi5a2VqRH_+JDut,Teriann,Joseph,Teriann.Joseph@ucmerced.edu,english
145,MarinnaStoller,q$#7l#sc@Y*,Marinna,Stoller,Marinna.Stoller@ucmerced.edu,spanish
146,GianinaSkell,W0b1NZ&UDH,Gianina,Skell,Gianina.Skell@ucmerced.edu,political science
147,PriscillaSherfield,WP8PL%hcx!w,Priscilla,Sherfield,Priscilla.Sherfield@ucmerced.edu,philosophy
148,NinnettaDunkin,GU&RCvT#e&q$1,Ninnetta,Dunkin,Ninnetta.Dunkin@ucmerced.edu,psychology
149,AdeleYusuk,uYoo*2@),Adele,Yusuk,Adele.Yusuk@ucmerced.edu,spanish
150,AugustineUmmersen,=^ZSbIuRf,Augustine,Ummersen,Augustine.Ummersen@ucmerced.edu,applied mathematical sciences
151,ShaunaMaples,#OVyfs21!,Shauna,Maples,Shauna.Maples@ucmerced.edu,mechanical engineering
152,KamilahGraig,FJ9L+*_9V,Kamilah,Graig,Kamilah.Graig@ucmerced.edu,critical race and ethnic studies
153,GavrielleTrace,WkxUMkhWeA,Gavrielle,Trace,Gavrielle.Trace@ucmerced.edu,management and business economics
154,CassondraKannry,chHAOnSA,Cassondra,Kannry,Cassondra.Kannry@ucmerced.edu,mechanical engineering
155,CallaMcCutcheon,Zr#Sp^1M6z8W,Calla,McCutcheon,Calla.McCutcheon@ucmerced.edu,civil engineering
156,CherilynDrisko,Reax1aR!=9pPP,Cherilyn,Drisko,Cherilyn.Drisko@ucmerced.edu,applied mathematical sciences
157,RoxaneSasnett,JI@49GhBO,Roxane,Sasnett,Roxane.Sasnett@ucmerced.edu,environmental engineering
158,HettiePeonir,KZyMA3#bA&r)3mf,Hettie,Peonir,Hettie.Peonir@ucmerced.edu,management and business economics
159,ShelRustice,^+%A2f*bJAhA,Shel,Rustice,Shel.Rustice@ucmerced.edu,english
160,NatalineMartguerita,hEwvp0Ye1Yv+,Nataline,Martguerita,Nataline.Martguerita@ucmerced.edu,management and business economics
161,BettaFleeta,ioM#4-Z$RPOxYYI,Betta,Fleeta,Betta.Fleeta@ucmerced.edu,computer science and engineering
162,NelleMehalek,3*!hYw#9#MAE,Nelle,Mehalek,Nelle.Mehalek@ucmerced.edu,english
163,TillyErich,HwxAQ+tmEHahMl,Tilly,Erich,Tilly.Erich@ucmerced.edu,sociology
164,TraceyEugenia,t)i7R5RrGykN*@Z(,Tracey,Eugenia,Tracey.Eugenia@ucmerced.edu,critical race and ethnic studies
165,LaylaVerger,uTlcWgI)waXmG,Layla,Verger,Layla.Verger@ucmerced.edu,history
166,TinaFaust,oJ0K!VnAEy8,Tina,Faust,Tina.Faust@ucmerced.edu,cognitive science
167,RaquelaGarbe,na%QM@LkfyOt8Ycv,Raquela,Garbe,Raquela.Garbe@ucmerced.edu,bioengineering
168,IleanaWhittaker,y_pe_$KN,Ileana,Whittaker,Ileana.Whittaker@ucmerced.edu,materials sciences and engineering
169,AlamedaFax,)yPtVUw1_-DbtSu,Alameda,Fax,Alameda.Fax@ucmerced.edu,spanish
170,RheaDrus,t$u!IYPeO#lgq,Rhea,Drus,Rhea.Drus@ucmerced.edu,spanish
171,KatharinaHessler,HC^veI76I32g,Katharina,Hessler,Katharina.Hessler@ucmerced.edu,cognitive science
172,LarineHenrie,rIS56Ouho5,Larine,Henrie,Larine.Henrie@ucmerced.edu,global arts studies program
173,DomingaBuckler,WUEaUpjhVhPu(9pW,Dominga,Buckler,Dominga.Buckler@ucmerced.edu,economics
174,MarcellineHarned,MI4asr6S1BsHB,Marcelline,Harned,Marcelline.Harned@ucmerced.edu,economics
175,PhedraCadmar,p(D_tl^8mAK,Phedra,Cadmar,Phedra.Cadmar@ucmerced.edu,materials sciences and engineering
176,ShannahMcCutcheon,sbz960u@oNPsVXt,Shannah,McCutcheon,Shannah.McCutcheon@ucmerced.edu,economics
177,MamieTomasina,Qu2Bdu15OR,Mamie,Tomasina,Mamie.Tomasina@ucmerced.edu,applied mathematical sciences
178,DoroKaja,ClYHddwp,Doro,Kaja,Doro.Kaja@ucmerced.edu,computer science and engineering
179,ElmiraLorain,u%8i$%*#n_,Elmira,Lorain,Elmira.Lorain@ucmerced.edu,public health
180,RaquelaNiles,Wa(2h=%VI,Raquela,Niles,Raquela.Niles@ucmerced.edu,philosophy
181,PetroniaEllerey,vKkTI-EKdaqTqi4N,Petronia,Ellerey,Petronia.Ellerey@ucmerced.edu,public health
182,CarreeLlovera,3WrZKmfJv4QURU,Carree,Llovera,Carree.Llovera@ucmerced.edu,public health
183,EvitaCath,5Wn=Bu9&4XxcT,Evita,Cath,Evita.Cath@ucmerced.edu,management and business economics
184,KateCressida,mHFP-1)lF,Kate,Cressida,Kate.Cressida@ucmerced.edu,environmental engineering
185,ChandraSoneson,So1J)Y-3,Chandra,Soneson,Chandra.Soneson@ucmerced.edu,english
186,LivvyyIsidore,MkzAqIw=7L&RQeLE,Livvyy,Isidore,Livvyy.Isidore@ucmerced.edu,civil engineering
187,CamileHalsey,rj5I^xCDq25Uw31,Camile,Halsey,Camile.Halsey@ucmerced.edu,political science
188,DedeHubert,IED2*q05I,Dede,Hubert,Dede.Hubert@ucmerced.edu,history
189,TierneyBrunell,s_Iafn#D-qK,Tierney,Brunell,Tierney.Brunell@ucmerced.edu,mechanical engineering
190,EmiliaRugen,h9BYMFf#ySMV,Emilia,Rugen,Emilia.Rugen@ucmerced.edu,philosophy
191,ErickaBouchard,UjPUOKGASn#_=,Ericka,Bouchard,Ericka.Bouchard@ucmerced.edu,bioengineering
192,TiffieRies,5fXNGTCWc7imoH%,Tiffie,Ries,Tiffie.Ries@ucmerced.edu,management and business economics
193,DaleWestphal,&YUcZswyM7Ff,Dale,Westphal,Dale.Westphal@ucmerced.edu,political science
194,JuneGaspard,yyfilYQT#An*K4PO,June,Gaspard,June.Gaspard@ucmerced.edu,political science
195,XylinaBach,M*koo(lIT&S%$t,Xylina,Bach,Xylina.Bach@ucmerced.edu,computer science and engineering
196,RomonaJillane,-nxqjd$-&OD=,Romona,Jillane,Romona.Jillane@ucmerced.edu,global arts studies program
197,CatrinaKristi,2fPjgP+Zl,Catrina,Kristi,Catrina.Kristi@ucmerced.edu,computer science and engineering
198,VitaLeonard,=Qm4jnv^X$r-3uI,Vita,Leonard,Vita.Leonard@ucmerced.edu,history
199,ZariaBlase,qcSEErLPfT45t,Zaria,Blase,Zaria.Blase@ucmerced.edu,economics
200,EthelTurne,--jURQsBOWnGDBv!,Ethel,Turne,Ethel.Turne@ucmerced.edu,spanish
201,WendiGerge,a8J3(^bG%u,Wendi,Gerge,Wendi.Gerge@ucmerced.edu,psychology
202,YolaneEliathas,Vu3NuW(bB9_sAb,Yolane,Eliathas,Yolane.Eliathas@ucmerced.edu,materials sciences and engineering
203,CissieeMaxi,j1YsL&P2KrO!,Cissiee,Maxi,Cissiee.Maxi@ucmerced.edu,computer science and engineering
204,EvitaAdrienne,zF@+r$XV64,Evita,Adrienne,Evita.Adrienne@ucmerced.edu,english
205,CamileBari,l)_=&3PaqM*jXv,Camile,Bari,Camile.Bari@ucmerced.edu,cognitive science
206,EugineCleavland,E0e$k_Ko3hzYRijA,Eugine,Cleavland,Eugine.Cleavland@ucmerced.edu,chemical sciences
207,BabitaValoniah,GpGPJ^_ONqhtLJAm,Babita,Valoniah,Babita.Valoniah@ucmerced.edu,chemical sciences
208,LindieNadia,3fEdEIOi7VG-,Lindie,Nadia,Lindie.Nadia@ucmerced.edu,civil engineering
209,LuciNelsen,eA*Q##@ibFG0,Luci,Nelsen,Luci.Nelsen@ucmerced.edu,bioengineering
210,EmyleeAlisia,q%FN4iz-T12!mO,Emylee,Alisia,Emylee.Alisia@ucmerced.edu,environmental systems science
211,DorthyBronk,HN-Y6viuK&j!x4,Dorthy,Bronk,Dorthy.Bronk@ucmerced.edu,political science
212,AlexineScreens,oCHRaS2^vQ&L,Alexine,Screens,Alexine.Screens@ucmerced.edu,bioengineering
213,ShereeChristal,%L%M9!3K4mUXx,Sheree,Christal,Sheree.Christal@ucmerced.edu,cognitive science
214,RochetteGombach,jcS-UxS%1(1)x3LQ,Rochette,Gombach,Rochette.Gombach@ucmerced.edu,philosophy
215,KeeliaKonyn,ul%H5$nY*FCyY,Keelia,Konyn,Keelia.Konyn@ucmerced.edu,environmental engineering
216,AiliNicoline,T=Up2(xf0*n,Aili,Nicoline,Aili.Nicoline@ucmerced.edu,economics
217,LoreeMadaih,Ak0qYGHh,Loree,Madaih,Loree.Madaih@ucmerced.edu,critical race and ethnic studies
218,JoaneDituri,qs6y3j1W8,Joane,Dituri,Joane.Dituri@ucmerced.edu,philosophy
219,ShellAlarise,icI(%+5_x(KGS,Shell,Alarise,Shell.Alarise@ucmerced.edu,applied mathematical sciences
220,IvettBollay,k)hdhGlZC2i,Ivett,Bollay,Ivett.Bollay@ucmerced.edu,civil engineering
221,ElfredaWandie,852_+u7$C,Elfreda,Wandie,Elfreda.Wandie@ucmerced.edu,mechanical engineering
222,PeriGaspard,$Oa#&xQt_O,Peri,Gaspard,Peri.Gaspard@ucmerced.edu,philosophy
223,GlynnisGrobe,oHgf0KUf-W,Glynnis,Grobe,Glynnis.Grobe@ucmerced.edu,computer science and engineering
224,JanyErich,X)qBt(uH7K6Npr,Jany,Erich,Jany.Erich@ucmerced.edu,philosophy
225,JerryLilybelle,fJ2CVF*N&,Jerry,Lilybelle,Jerry.Lilybelle@ucmerced.edu,history
226,TeddieSheng,R$ps4xmrAik0,Teddie,Sheng,Teddie.Sheng@ucmerced.edu,civil engineering
227,TybieMacIntosh,wMb2Lj=E$c08RX,Tybie,MacIntosh,Tybie.MacIntosh@ucmerced.edu,environmental engineering
228,MartiGrosz,s-utfjpSz+,Marti,Grosz,Marti.Grosz@ucmerced.edu,philosophy
229,KalinaFink,&pS3!ZTxshU7wn72,Kalina,Fink,Kalina.Fink@ucmerced.edu,chemical sciences
230,ElieDulciana,87nTora)0PxXa,Elie,Dulciana,Elie.Dulciana@ucmerced.edu,bioengineering
231,ChereRaama,r2ICq#P-@cLZ,Chere,Raama,Chere.Raama@ucmerced.edu,public health
232,JaimeVelick,8JO@v@E-^=&J0,Jaime,Velick,Jaime.Velick@ucmerced.edu,public health
233,LyneaHowlyn,3RQdRD3W,Lynea,Howlyn,Lynea.Howlyn@ucmerced.edu,cognitive science
234,BabitaHathaway,K2W4nrXeTB&VX,Babita,Hathaway,Babita.Hathaway@ucmerced.edu,sociology
235,ClaryKonyn,PP3g+#zF9_,Clary,Konyn,Clary.Konyn@ucmerced.edu,civil engineering
236,KennaPersse,qp)-r*Do,Kenna,Persse,Kenna.Persse@ucmerced.edu,applied mathematical sciences
237,KellyImelida,&$c7n-%Y,Kelly,Imelida,Kelly.Imelida@ucmerced.edu,environmental engineering
238,AnnabelaUund,Ya_2MX+Cx,Annabela,Uund,Annabela.Uund@ucmerced.edu,psychology
239,GilliganJethro,6!GqD$KHNiL+j%J6,Gilligan,Jethro,Gilligan.Jethro@ucmerced.edu,global arts studies program
240,MarcyMauer,V8#tmfxMU3HQ5)@e,Marcy,Mauer,Marcy.Mauer@ucmerced.edu,applied mathematical sciences
