id,username,password,firstname,lastname,email,major
42,KaryYoko,yKBgTB h6(Z*+4LKWv@+ya,Kary,Yoko,KaryYoko@ucmerced.edu,cognitive science
43,CarittaAdalbert,=lgnhv2OxeEZ7-N,Caritta,Adalbert,CarittaAdalbert@ucmerced.edu,english
44,RiannonLytton,30J+DKSCf OiuI7,Riannon,Lytton,RiannonLytton@ucmerced.edu,global arts studies program
45,EsmeraldaRoxanna,K^ 6c)^ul( ubfT,Esmeralda,Roxanna,EsmeraldaRoxanna@ucmerced.edu,mechanical engineering
46,PhylisMilson,UwLZcdzOoUZU +Kl%o=SBjn*_CQL YW,Phylis,Milson,PhylisMilson@ucmerced.edu,cognitive science
47,SeanOthilia,6XC@=4_ 8LQK0zJ V)e 5,Sean,Othilia,SeanOthilia@ucmerced.edu,sociology
48,SissyBohlin,HU5@yI3P vT,Sissy,Bohlin,SissyBohlin@ucmerced.edu,global arts studies program
49,SueBrandice,X^Cy0VvBzL9*1+qKTh 970h2)M97-x,Sue,Brandice,SueBrandice@ucmerced.edu,chemical sciences
50,CarmelaJagir," buvm $sj",Carmela,Jagir,CarmelaJagir@ucmerced.edu,psychology
51,TinaOlnee,1r=iTys@MoL3BszCKEsPAIPggwjG=B3I,Tina,Olnee,TinaOlnee@ucmerced.edu,bioengineering
52,ErnestaGiff,$Eyz=lSxZa6xz,Ernesta,Giff,ErnestaGiff@ucmerced.edu,economics
53,ClaryNedrud,J@IGDFG FgtajEEWJ,Clary,Nedrud,ClaryNedrud@ucmerced.edu,computer science and engineering
54,MorganicaChandler,_*U3EF0CbkFZD,Morganica,Chandler,MorganicaChandler@ucmerced.edu,history
55,KellyBrotherson,ag84P&Ql+^AE%q*I1pnae,Kelly,Brotherson,KellyBrotherson@ucmerced.edu,computer science and engineering
56,MelanieShuler,BU=wlSXlt!(dFSf,Melanie,Shuler,MelanieShuler@ucmerced.edu,chemical sciences
57,CathyleenLail,@3h+y3ZU,Cathyleen,Lail,CathyleenLail@ucmerced.edu,bioengineering
58,MireielleLamoree,ygLlZ!6IkcXB&p,Mireielle,Lamoree,MireielleLamoree@ucmerced.edu,biological sciences
59,GiselaIiette,(CY= a2@&,Gisela,Iiette,GiselaIiette@ucmerced.edu,environmental engineering
60,ShellTherine,"  4LgVG 5w9Yk m3xKizNER2eT8W",Shell,Therine,ShellTherine@ucmerced.edu,critical race and ethnic studies
61,VinitaDanby,$D&zNqeJyQVZ*vzz,Vinita,Danby,VinitaDanby@ucmerced.edu,public health
62,BarbiSalchunas," *so$Pvv*Wy8FRy",Barbi,Salchunas,BarbiSalchunas@ucmerced.edu,political science
63,HermioneDelp,0qy31noO2NDd,Hermione,Delp,HermioneDelp@ucmerced.edu,mechanical engineering
64,ShandieMiddleton,bcWm6wV%M4Y $)*%DVHD*h_qL,Shandie,Middleton,ShandieMiddleton@ucmerced.edu,english
65,KajaBelldas,s McFMnX+c3eagfDTFh+oy1v,Kaja,Belldas,KajaBelldas@ucmerced.edu,critical race and ethnic studies
66,MorganicaRiva,U7P ULkTknNduNb&LwD*1ZP-)a,Morganica,Riva,MorganicaRiva@ucmerced.edu,english
67,MiquelaArmanda,#Yt F-OA4 mp$^88uhMgX3#rJ,Miquela,Armanda,MiquelaArmanda@ucmerced.edu,bioengineering
68,JulietaNoelyn,+#vej cAaP,Julieta,Noelyn,JulietaNoelyn@ucmerced.edu,applied mathematical sciences
69,JocelineLoring,pi26Q6qK6_dOPvu)nS-i1L1d#,Joceline,Loring,JocelineLoring@ucmerced.edu,applied mathematical sciences
70,JosephineKristi,SC3Iktsl%Ha^ZeF,Josephine,Kristi,JosephineKristi@ucmerced.edu,political science
71,LyneaRebecka,htMDZTIA,Lynea,Rebecka,LyneaRebecka@ucmerced.edu,applied mathematical sciences
72,IraKunin,8MEUQ*8+ CsQviyfEdXPYi9w!DUhZ,Ira,Kunin,IraKunin@ucmerced.edu,mechanical engineering
73,GlendaZina,gTP16 m_7$Bnl^&BF_x&snAX_6r)jBY,Glenda,Zina,GlendaZina@ucmerced.edu,environmental systems science
74,MelanieGenna,P9Wu Onlp EW^7XSaolmqgc7-Q,Melanie,Genna,MelanieGenna@ucmerced.edu,public health
75,CourtnayMasao,4ce!Q2r6%,Courtnay,Masao,CourtnayMasao@ucmerced.edu,computer science and engineering
76,TillyBohlin,Nf-lB%&z*ETK%)01-g&GF)*r,Tilly,Bohlin,TillyBohlin@ucmerced.edu,materials sciences and engineering
77,ShaunaPascia,ZksQI!Z PRHyOBWm0hp,Shauna,Pascia,ShaunaPascia@ucmerced.edu,history
78,JudyAbbot,Gvuav)FJTx@5)v_Ww9b @uzf-K(bUVr,Judy,Abbot,JudyAbbot@ucmerced.edu,applied mathematical sciences
79,MyrticeWyn,"  YoiY%v0L=8K0oDkj(",Myrtice,Wyn,MyrticeWyn@ucmerced.edu,critical race and ethnic studies
80,MignonHoenack,Q*p8+t Fil01 -pnpZ_Sbw,Mignon,Hoenack,MignonHoenack@ucmerced.edu,civil engineering
81,VonnyThema,+mO@68wk S@x E6gQMeuN*P^ mYr,Vonny,Thema,VonnyThema@ucmerced.edu,sociology
82,DaniaVernier,Sc8ROSaUg2551aaPlOGC,Dania,Vernier,DaniaVernier@ucmerced.edu,anthropology
83,GuiGusella,oyOI= %m390u,Gui,Gusella,GuiGusella@ucmerced.edu,public health
84,OonaBigner,PiF@zV74-q2(yqgL0)4uVWoe30,Oona,Bigner,OonaBigner@ucmerced.edu,mechanical engineering
85,RosalineBerne," gd9oedr",Rosaline,Berne,RosalineBerne@ucmerced.edu,spanish
86,BlinniBach,tI7UC(ZegSfsuM Dj)P4,Blinni,Bach,BlinniBach@ucmerced.edu,critical race and ethnic studies
87,MaiseyDurante,CDQa1BgNoI)cGoZNP%umJnqKDHF+H0-,Maisey,Durante,MaiseyDurante@ucmerced.edu,economics
88,GwennethDrisko," X2r$n ynn#M+)BJD$ QhxS Tfm2o",Gwenneth,Drisko,GwennethDrisko@ucmerced.edu,sociology
89,CorinaMeli,g2)P5_Vyaj,Corina,Meli,CorinaMeli@ucmerced.edu,civil engineering
90,LouellaFederica,3Dzf6)K)U8d=,Louella,Federica,LouellaFederica@ucmerced.edu,economics
91,FloClie,*LM@M)rxq@!131_ln ZPSyK,Flo,Clie,FloClie@ucmerced.edu,global arts studies program
92,KatharinaPenelopa,x&l&K1l37njajJ!xNV0,Katharina,Penelopa,KatharinaPenelopa@ucmerced.edu,philosophy
93,LoreeThomasina,w%bQ4^2aiL2vkjilIoRmFYpCzc6TOw,Loree,Thomasina,LoreeThomasina@ucmerced.edu,anthropology
94,KristinaLoleta,! t8NNXNizTCNt_%L+mT^k!54,Kristina,Loleta,KristinaLoleta@ucmerced.edu,anthropology
95,LindieGrimbly,@(KI0UwW=hvFFPfXb_YuyAM,Lindie,Grimbly,LindieGrimbly@ucmerced.edu,applied mathematical sciences
96,OrsolaLiebermann,Q XRS9szI #yjps(f+C9P y40! R_QY7,Orsola,Liebermann,OrsolaLiebermann@ucmerced.edu,mechanical engineering
97,ShelCorilla,^DF UyGx%!O 9Uiyf)@ NB@0X,Shel,Corilla,ShelCorilla@ucmerced.edu,materials sciences and engineering
98,JendaRaseda,SQSn5+XjeXitI&ky^z,Jenda,Raseda,JendaRaseda@ucmerced.edu,anthropology
99,MellicentSasnett,+5Fq8#^%CPMRwk^0@h*0^OrvCY91d9,Mellicent,Sasnett,MellicentSasnett@ucmerced.edu,bioengineering
100,GabiMiddleton,o XoNMFMq,Gabi,Middleton,GabiMiddleton@ucmerced.edu,psychology
101,LacieJarib,t)T_azA#8Q*O^,Lacie,Jarib,LacieJarib@ucmerced.edu,anthropology
102,AdoreLynn,UfQW)5szz)&P (s@aR$y31P^BfOM!D,Adore,Lynn,AdoreLynn@ucmerced.edu,anthropology
103,KasseyTomasina,w4@c*WXOxZg ep6a,Kassey,Tomasina,KasseyTomasina@ucmerced.edu,economics
104,AdaAurelio,ie91jc2X!9W1Vd 89KcHtf*$W1,Ada,Aurelio,AdaAurelio@ucmerced.edu,economics
105,ElenaHenebry,w^3)(tOdAK%xt+hu!-q# C,Elena,Henebry,ElenaHenebry@ucmerced.edu,english
106,DonettaElvyn,6JziD+31,Donetta,Elvyn,DonettaElvyn@ucmerced.edu,anthropology
107,DrucieGiff,HIzOW_BoM9,Drucie,Giff,DrucieGiff@ucmerced.edu,civil engineering
108,MichelineAnselmi,70Cxf_JqLhj+Mdr5h($W,Micheline,Anselmi,MichelineAnselmi@ucmerced.edu,english
109,AdaMelleta,)(#GNHEA^ mb^a(*FR)V,Ada,Melleta,AdaMelleta@ucmerced.edu,cognitive science
110,MaudRossner,wH9dZ@ Eq 1sgV3tIZuCcItC tSNZ5n,Maud,Rossner,MaudRossner@ucmerced.edu,political science
111,BrooksLouanna,v5Y4Cx=(0%Wc *C$Exwd &h,Brooks,Louanna,BrooksLouanna@ucmerced.edu,computer science and engineering
112,SissyGiule,!=mE=^&!J% #ZgUyz4k=B 0_T7P+-jQe,Sissy,Giule,SissyGiule@ucmerced.edu,philosophy
113,AlexFancie,9F^!Z d_h(m8p)1B Y oi PzTW-xcCu!,Alex,Fancie,AlexFancie@ucmerced.edu,management and business economics
114,NoelleGerge,6 tGCAJ=_MusZqPT_9awtXFSvY,Noelle,Gerge,NoelleGerge@ucmerced.edu,critical race and ethnic studies
115,MaudStilwell,JDLy_Y#Z,Maud,Stilwell,MaudStilwell@ucmerced.edu,cognitive science
116,VereKress,e!w5_HdXeY,Vere,Kress,VereKress@ucmerced.edu,history
117,MathildaCatie,_gZhG3bpBTDUB yw*Cofp U4pL-,Mathilda,Catie,MathildaCatie@ucmerced.edu,applied mathematical sciences
118,ElletteMarkman,c4^ qON=qRPozI,Ellette,Markman,ElletteMarkman@ucmerced.edu,applied mathematical sciences
119,AnalleseWyn,RHsgm%lDj5Exw@q&i@*rQK5#^a,Anallese,Wyn,AnalleseWyn@ucmerced.edu,public health
120,RobiniaVirgin,D14Dpef8APD9BDlix$+ 0,Robinia,Virgin,RobiniaVirgin@ucmerced.edu,history
121,AuroreDalli,mxYg8YzL%)fjiH^lN=-e)^mi7CFhS41,Aurore,Dalli,AuroreDalli@ucmerced.edu,political science
122,MaraMaiah,LDbbZ^-)AfmRhZeUo,Mara,Maiah,MaraMaiah@ucmerced.edu,global arts studies program
123,AnnabelaOlympium,gN+%OBOyzvq1q5%T& y0  kyDm^A1k,Annabela,Olympium,AnnabelaOlympium@ucmerced.edu,bioengineering
124,HermioneKress,eu9B3  qP$Zas)ZD,Hermione,Kress,HermioneKress@ucmerced.edu,civil engineering
125,ZiaWinnick,1M7+q$h*@=Cn,Zia,Winnick,ZiaWinnick@ucmerced.edu,materials sciences and engineering
126,EadieRoche,IOsdoA409ikC&+JqGe36-tQ7VsC,Eadie,Roche,EadieRoche@ucmerced.edu,environmental engineering
127,EstellWittie,0XD ySC8toD=,Estell,Wittie,EstellWittie@ucmerced.edu,anthropology
128,RenieWallis,*lV_3xWT9#M -9#C,Renie,Wallis,RenieWallis@ucmerced.edu,economics
129,MaureneAutrey,FM$u2KcYNPXKS-^,Maurene,Autrey,MaureneAutrey@ucmerced.edu,chemical sciences
130,BelvaJustinn,pLL_FklGx1rXz1@,Belva,Justinn,BelvaJustinn@ucmerced.edu,public health
131,EttaVoletta,*cwX*QCe8e 6b Q,Etta,Voletta,EttaVoletta@ucmerced.edu,anthropology
132,MalinaLindemann,NAp+oBuBo^0(-,Malina,Lindemann,MalinaLindemann@ucmerced.edu,psychology
133,WilmaDorine,sVdIN  ySOROlM6i-x#qYAx6bY=i4a+,Wilma,Dorine,WilmaDorine@ucmerced.edu,sociology
134,CarlieNaor,UYmCZAEeQ+Z  GKKr,Carlie,Naor,CarlieNaor@ucmerced.edu,cognitive science
135,CelestynaFederica,)Z6 Ut0_QWOja8)k5Io!_qIx+g_SfuH,Celestyna,Federica,CelestynaFederica@ucmerced.edu,management and business economics
136,EthelStanwood,+^@NQwoNWAFQxIP!&qw hrxapD,Ethel,Stanwood,EthelStanwood@ucmerced.edu,public health
137,KatharinaBurch,1)%iZms^,Katharina,Burch,KatharinaBurch@ucmerced.edu,cognitive science
138,AlexineJapeth,1@3%ck2=$DOIMU oSg@yjhjUDTN^r%l,Alexine,Japeth,AlexineJapeth@ucmerced.edu,sociology
139,CoralNisbet,64=Q*t 9^2Q_abD bild97r,Coral,Nisbet,CoralNisbet@ucmerced.edu,bioengineering
140,RaynaArdeha,g6LnYIa*RcOvrnC&b,Rayna,Ardeha,RaynaArdeha@ucmerced.edu,materials sciences and engineering
141,JobiFaria," )I%+I^1o#J-",Jobi,Faria,JobiFaria@ucmerced.edu,english
142,VivieneLeary,FZR%V(Z@QCM2%eZiH5,Viviene,Leary,VivieneLeary@ucmerced.edu,biological sciences
143,GildaUlphia,v 7(gmz5EPh+SDt92F^,Gilda,Ulphia,GildaUlphia@ucmerced.edu,computer science and engineering
144,ClaryRead,_bDL*8H9J,Clary,Read,ClaryRead@ucmerced.edu,political science
145,HeidaChristal,*@+$6!U@,Heida,Christal,HeidaChristal@ucmerced.edu,computer science and engineering
146,ArlinaBettine,7N@mo5(FrhHtzRj+ dg daD&,Arlina,Bettine,ArlinaBettine@ucmerced.edu,management and business economics
147,TraceyWinnick,Jc5+ m=4p,Tracey,Winnick,TraceyWinnick@ucmerced.edu,cognitive science
148,BettineDyche,W3w0c5)Th* 4)5!NtQuv2a3g+I*0+ ho,Bettine,Dyche,BettineDyche@ucmerced.edu,public health
149,IseabalUund,4 VdHN%7pM%OQDO,Iseabal,Uund,IseabalUund@ucmerced.edu,political science
150,CallaEdvard,BBSYY+rd%=*ah+(8weJ*,Calla,Edvard,CallaEdvard@ucmerced.edu,applied mathematical sciences
151,CatrinaBobbee,2E & aRpyn-EY)T%!wi%S=b,Catrina,Bobbee,CatrinaBobbee@ucmerced.edu,management and business economics
152,SonniChauncey,uzB%KhUes&Y0V6#M67k!Ec(B2*rl7We,Sonni,Chauncey,SonniChauncey@ucmerced.edu,bioengineering
153,KrystleNicoline,QD28Gjb_,Krystle,Nicoline,KrystleNicoline@ucmerced.edu,management and business economics
154,KylynnHanleigh,S@nlzo*UJH&( $MZEz5)xJtp%2n*_,Kylynn,Hanleigh,KylynnHanleigh@ucmerced.edu,english
155,EadieLewes,yZ+0S78HCFfc) 2A+,Eadie,Lewes,EadieLewes@ucmerced.edu,computer science and engineering
156,BritteDestinee,To4=VhBlpxX!Tqm&xeN,Britte,Destinee,BritteDestinee@ucmerced.edu,sociology
157,DevinaGavrila,9EfR h4kg,Devina,Gavrila,DevinaGavrila@ucmerced.edu,political science
158,StephanieNadia,s*C OiMUq6gK179,Stephanie,Nadia,StephanieNadia@ucmerced.edu,bioengineering
159,LeonaMcClimans,qrz Yw9Yfqa0COUFVtrJ=&QpHoV,Leona,McClimans,LeonaMcClimans@ucmerced.edu,english
160,AmaraIoab,MC gpyo5r7Q0nffoO,Amara,Ioab,AmaraIoab@ucmerced.edu,political science
161,NessieMartguerita," NmV5ux T$%k T&PrA#+W-R",Nessie,Martguerita,NessieMartguerita@ucmerced.edu,public health
162,CorreyDex,Hlex)GTlb 68ViG(6wtP=Q-v !24xUf,Correy,Dex,CorreyDex@ucmerced.edu,philosophy
163,AliaMarcellus,3WQbA!jmza_4lWd+,Alia,Marcellus,AliaMarcellus@ucmerced.edu,cognitive science
164,WinifredEdvard,rkC5!*sB,Winifred,Edvard,WinifredEdvard@ucmerced.edu,mechanical engineering
165,EsmeraldaClywd,ZI%rTQI0+,Esmeralda,Clywd,EsmeraldaClywd@ucmerced.edu,cognitive science
166,IleanaColp,F@ky8BXCq1  Y9OrOGbetY,Ileana,Colp,IleanaColp@ucmerced.edu,philosophy
167,FelizaDarbie,R#xIJIjRawC^A-3F^Xde,Feliza,Darbie,FelizaDarbie@ucmerced.edu,management and business economics
168,PauleWinthorpe,"SBidF6@m ",Paule,Winthorpe,PauleWinthorpe@ucmerced.edu,psychology
169,LilithGrimbly,OuqJ)#PRZhG,Lilith,Grimbly,LilithGrimbly@ucmerced.edu,mechanical engineering
170,GaylenePapageno,5WMlBU&hunw$MrmQqtc,Gaylene,Papageno,GaylenePapageno@ucmerced.edu,anthropology
171,SharaiSalvidor,7hXsn)uK,Sharai,Salvidor,SharaiSalvidor@ucmerced.edu,computer science and engineering
172,JulietaHermes,PbYM1tSPVY04Ll*p(=uy,Julieta,Hermes,JulietaHermes@ucmerced.edu,critical race and ethnic studies
173,NessieGahl,dQJ1%%*XdyA%h+euv,Nessie,Gahl,NessieGahl@ucmerced.edu,cognitive science
174,GabiAugust,qU6!9gg-Hh,Gabi,August,GabiAugust@ucmerced.edu,global arts studies program
175,MahaliaGilmour,9Uw!vMSTC0W5mhW7yWd5 #r=TSgeh(q,Mahalia,Gilmour,MahaliaGilmour@ucmerced.edu,management and business economics
176,EstellStevy,Xs0R^1)M&,Estell,Stevy,EstellStevy@ucmerced.edu,applied mathematical sciences
177,BeatrizEugenia,!M+LmW*zvoDeZrxfvrU,Beatriz,Eugenia,BeatrizEugenia@ucmerced.edu,management and business economics
178,WilmaEuridice,lXG!_*FiS7,Wilma,Euridice,WilmaEuridice@ucmerced.edu,english
179,KirstinRaseda,%2FVEll3fZiFg3L fCZ0u2Jd*nj_9hnX,Kirstin,Raseda,KirstinRaseda@ucmerced.edu,global arts studies program
180,ElkaHieronymus,EEac6C^KzrBvfiV6h3G*gfe2v0Iu,Elka,Hieronymus,ElkaHieronymus@ucmerced.edu,computer science and engineering
181,KarinaRaama,"3&+F&Gm-Nd3-OBiijMMVU^nr ",Karina,Raama,KarinaRaama@ucmerced.edu,psychology
182,AnnoraSuanne,xeRO$7w!+%Nq%MulE,Annora,Suanne,AnnoraSuanne@ucmerced.edu,critical race and ethnic studies
183,BobbiMaples,b^gT=swf!)*ByfmO+9i,Bobbi,Maples,BobbiMaples@ucmerced.edu,anthropology
184,FawneMasao,eenFN=%^#O_RD(m!UA5S#,Fawne,Masao,FawneMasao@ucmerced.edu,economics
185,LianaGemini,AyBNk&oe,Liana,Gemini,LianaGemini@ucmerced.edu,civil engineering
186,AurelieGarlinda,#f-nanT Q=BaL8t5Sl2yTAz6)Em@*O,Aurelie,Garlinda,AurelieGarlinda@ucmerced.edu,philosophy
187,DemetrisCharity,TYUH31^$f_xzYbvD3jj@!IXfFZO,Demetris,Charity,DemetrisCharity@ucmerced.edu,environmental engineering
188,LivvyyGahl,h k^K$V6F7quW9d,Livvyy,Gahl,LivvyyGahl@ucmerced.edu,philosophy
189,OlivetteDamarra," x!wve-4KuHK4 #eiBFijqza JC1EFN",Olivette,Damarra,OlivetteDamarra@ucmerced.edu,applied mathematical sciences
190,MerrieAlfons,SSpUjRU0H(KVB+*1tYk0g l+pZR1O!,Merrie,Alfons,MerrieAlfons@ucmerced.edu,economics
191,SusetteSidonius,=T1=j91H9dz&LdV(Q#5TTcGWk1)3jNf,Susette,Sidonius,SusetteSidonius@ucmerced.edu,environmental systems science
192,GianinaDyche,eBHsRkx5Dc7-Z@(f8_ 8dAX%7zA3!&OU,Gianina,Dyche,GianinaDyche@ucmerced.edu,sociology
193,RebecaRhu,pmKAs@GQc@ghal08L$q_a$=5J0jw(l,Rebeca,Rhu,RebecaRhu@ucmerced.edu,computer science and engineering
194,OfiliaJapeth,-9@#yS-006g-5!=&O3o-x XqFah,Ofilia,Japeth,OfiliaJapeth@ucmerced.edu,history
195,GeorginaRies,J3lt!VJYE2(otaLc2t^Y,Georgina,Ries,GeorginaRies@ucmerced.edu,economics
196,SashenkaSperling,!qL^(n5uPs@F+Htr =DqVs) ft,Sashenka,Sperling,SashenkaSperling@ucmerced.edu,political science
197,AlmetaMiru,73 Nnk%bIwmdDlXeP*l*A-_iX=un,Almeta,Miru,AlmetaMiru@ucmerced.edu,history
198,BrandiseOlympium,Rn=AKZ7*A0G69um8l,Brandise,Olympium,BrandiseOlympium@ucmerced.edu,history
199,DariAde,TB!3 GAcfi_S*^Fw8NLeWkmUM,Dari,Ade,DariAde@ucmerced.edu,chemical sciences
200,NessieEtom,Qksv*gED#=(uO066KYSf84M,Nessie,Etom,NessieEtom@ucmerced.edu,environmental systems science
201,AbbieRhu,XQ- r0GckUfYvy,Abbie,Rhu,AbbieRhu@ucmerced.edu,chemical sciences
202,DebeeAjay,%wpEQezExpdM&,Debee,Ajay,DebeeAjay@ucmerced.edu,cognitive science
203,JohnaGirardo,0IQ0UlBK,Johna,Girardo,JohnaGirardo@ucmerced.edu,bioengineering
204,GrierErich,jdWw+U 6d)cI9)Fp 9C,Grier,Erich,GrierErich@ucmerced.edu,environmental systems science
205,MargaretteFillbert,jCvd !Cz8L$G2c4Ek^OFzLQd7T+,Margarette,Fillbert,MargaretteFillbert@ucmerced.edu,english
206,MaureneGino,kGGM(#+HDVOxR8%zZDVnPfJ(wRr_X,Maurene,Gino,MaureneGino@ucmerced.edu,civil engineering
207,ErickaScreens,Vvkpfy9Sh p KK6Js#h== WG,Ericka,Screens,ErickaScreens@ucmerced.edu,psychology
208,AddiaHaldas,eEB=zj SW@FugY0FqyCcdl5f7GD3N,Addia,Haldas,AddiaHaldas@ucmerced.edu,history
209,RosabelleSchroth,"=7Q*EP+ ",Rosabelle,Schroth,RosabelleSchroth@ucmerced.edu,management and business economics
210,MadeleineHathaway,xsXr#bZX,Madeleine,Hathaway,MadeleineHathaway@ucmerced.edu,environmental systems science
211,BernieWillie,*IFGNMpMz6qEvyNWwa+et,Bernie,Willie,BernieWillie@ucmerced.edu,political science
212,KalinaKazimir,pf5MBLsU71 iiQj#cV=,Kalina,Kazimir,KalinaKazimir@ucmerced.edu,public health
213,TabbathaSibyls,ICyWR6IxRJ$ Ru(YGZXaECiDFTYw6= $,Tabbatha,Sibyls,TabbathaSibyls@ucmerced.edu,bioengineering
214,AlexCarmena,JNdDwyO6a+y DrsEc)p2spmuY,Alex,Carmena,AlexCarmena@ucmerced.edu,english
215,CarittaHarned,sHnwQFxI5&,Caritta,Harned,CarittaHarned@ucmerced.edu,civil engineering
216,DeirdreVelick,zZ4 PrY&g)!vsj8*w!jk,Deirdre,Velick,DeirdreVelick@ucmerced.edu,spanish
217,MelinaBrian,-G7UAH+Efo,Melina,Brian,MelinaBrian@ucmerced.edu,critical race and ethnic studies
218,KarolinaLinskey,CS KMH%-#mwzU6dn _,Karolina,Linskey,KarolinaLinskey@ucmerced.edu,civil engineering
